"date","sessions","total_pageviews","total_bounces","avg_pageviews","avg_bounce"
2016-09-13,2354,10718,1147,4.55310110450297,0.487255734919286
2016-09-14,2600,13148,1226,5.05692307692308,0.471538461538462
2016-09-15,2876,14877,1317,5.17280945757997,0.457927677329624
2016-09-16,2562,13261,1240,5.1760343481655,0.4839968774395
2016-09-17,1825,7383,994,4.04547945205479,0.544657534246575
2016-09-18,1804,7887,913,4.3719512195122,0.50609756097561
2016-09-19,2640,12711,1292,4.81477272727273,0.489393939393939
2016-09-20,2713,13322,1325,4.91043125691117,0.488389237007003
2016-09-22,2527,11877,1242,4.70003957261575,0.491491887613771
2016-09-21,2668,13944,1253,5.2263868065967,0.469640179910045
2016-09-23,2355,10783,1140,4.57876857749469,0.484076433121019
2016-09-24,1821,8646,978,4.74794069192751,0.537067545304778
2016-09-25,1846,8112,988,4.3943661971831,0.535211267605634
2016-09-26,2737,13931,1307,5.08987943003288,0.477530142491779
2016-09-27,2676,12601,1309,4.70889387144993,0.489162929745889
2016-09-28,2503,12325,1189,4.92409109069117,0.475029964043148
2016-09-29,2549,11900,1214,4.66849744998038,0.476265202040016
2016-09-30,2271,9695,1151,4.26904447380009,0.506825187142228
2016-10-01,1576,6123,838,3.88515228426396,0.531725888324873
2016-10-02,1709,7555,829,4.42071386775892,0.485078993563487
2016-10-03,2479,11954,1150,4.82210568777733,0.463896732553449
2016-10-04,4173,17601,1867,4.21782890007189,0.447399952072849
2016-10-05,3684,15572,1664,4.22692725298588,0.451682953311618
2016-10-06,2964,12810,1416,4.32186234817814,0.477732793522267
2016-10-07,2840,12647,1364,4.45316901408451,0.480281690140845
2016-10-08,2083,8586,1081,4.12193951032165,0.518963034085454
2016-10-09,2111,8412,1065,3.98484130743723,0.504500236854571
2016-10-10,2858,11707,1415,4.0962211336599,0.495101469559132
2016-10-11,2800,10794,1387,3.855,0.495357142857143
2016-10-13,2893,11653,1504,4.02799861735223,0.519875561700657
2016-10-12,2809,11316,1374,4.02847988608046,0.489142043431826
2016-10-14,2791,10043,1459,3.59835184521677,0.522751701898961
2016-10-15,2451,7168,1437,2.92452060383517,0.586291309669523
2016-10-16,2617,8488,1534,3.2434084829958,0.586167367214368
2016-10-17,3311,12238,1915,3.69616430081546,0.578375113258834
2016-10-18,3541,12010,2016,3.39169726066083,0.569330697543067
2016-10-19,3455,12070,1945,3.49348769898698,0.562952243125905
2016-10-20,3682,11685,2081,3.17354698533406,0.565181966322651
2016-10-21,3354,10840,1901,3.231961836613,0.566785927251043
2016-10-22,2972,8983,1813,3.02254374158816,0.610026917900404
2016-10-23,2919,9029,1734,3.09318259677972,0.594039054470709
2016-10-24,3964,12465,2333,3.14455095862765,0.588546922300706
2016-10-25,3729,11787,2203,3.1609010458568,0.59077500670421
2016-10-26,4252,13380,2528,3.14675446848542,0.594543744120414
2016-10-27,4063,12704,2417,3.12675363032242,0.594880630076298
2016-10-28,3725,10886,2257,2.92241610738255,0.605906040268456
2016-10-29,2908,7469,1873,2.56843191196699,0.644085281980743
2016-10-30,3028,8305,1890,2.74273447820343,0.624174372523118
2016-11-01,3648,11147,2163,3.05564692982456,0.592927631578947
2016-10-31,3747,10386,2323,2.77181745396317,0.619962636776088
2016-11-02,3884,12028,2325,3.09680741503605,0.598609680741504
2016-11-03,3899,11966,2315,3.0689920492434,0.593741985124391
2016-11-04,3517,10303,2119,2.92948535683821,0.602502132499289
2016-11-05,2969,8605,1841,2.8982822499158,0.62007409902324
2016-11-06,3173,8592,1943,2.7078474629688,0.61235423889064
2016-11-07,3737,11996,2246,3.21006154669521,0.601016858442601
2016-11-08,3788,11857,2356,3.13014783526927,0.621964097148891
2016-11-09,3668,10744,2257,2.92911668484188,0.615321701199564
2016-11-10,3950,12482,2212,3.16,0.56
2016-11-11,3504,10702,1722,3.05422374429224,0.491438356164384
2016-11-12,3039,9029,1530,2.97104310628496,0.503455083909181
2016-11-13,3078,9753,1518,3.16861598440546,0.49317738791423
2016-11-14,4351,14229,2061,3.27028269363365,0.473684210526316
2016-11-15,4546,15274,2092,3.35987681478223,0.460184777826661
2016-11-17,3968,13002,1833,3.27671370967742,0.461945564516129
2016-11-16,4219,13676,2009,3.24152642806352,0.47617918938137
2016-11-18,3564,11050,1776,3.10044893378227,0.498316498316498
2016-11-19,2941,8900,1463,3.02618157089425,0.497449846990819
2016-11-20,3174,10704,1489,3.37240075614367,0.469124133585381
2016-11-21,4048,13449,1911,3.3223814229249,0.472084980237154
2016-11-22,3849,12004,1859,3.11873213821772,0.482982592881268
2016-11-23,3712,11971,1765,3.22494612068966,0.475484913793103
2016-11-24,3698,10930,1839,2.95565170362358,0.497295835586804
2016-11-25,3690,12167,1783,3.29728997289973,0.48319783197832
2016-11-26,3138,9549,1561,3.04302103250478,0.497450605481198
2016-11-28,4687,18483,1995,3.94346063580115,0.425645402176232
2016-11-27,3287,10398,1539,3.16337085488287,0.468208092485549
2016-11-29,4220,15166,1974,3.59383886255924,0.467772511848341
2016-11-30,4318,15172,2023,3.51366373320982,0.468503937007874
2016-12-01,4106,14755,1875,3.59352167559669,0.456648806624452
2016-12-02,3664,13371,1682,3.6492903930131,0.459061135371179
2016-12-03,2999,10170,1378,3.39113037679226,0.4594864954985
2016-12-04,3150,11120,1458,3.53015873015873,0.462857142857143
2016-12-05,4162,16723,1874,4.01802018260452,0.450264296011533
2016-12-07,2783,12748,1206,4.58066834351419,0.433345310815667
2016-12-06,2968,14641,1246,4.93295148247978,0.419811320754717
2016-12-08,2943,14224,1285,4.83316343866803,0.436629289840299
2016-12-09,2780,13382,1188,4.8136690647482,0.427338129496403
2016-12-10,2172,9693,977,4.46270718232044,0.449815837937385
2016-12-11,2175,9906,1019,4.55448275862069,0.468505747126437
2016-12-12,3349,15971,1458,4.76888623469692,0.435353836966259
2016-12-13,3092,14099,1398,4.5598318240621,0.452134540750323
2016-12-14,2981,14387,1301,4.82623280778262,0.436430727943643
2016-12-16,2902,14181,1275,4.88662991040662,0.439352170916609
2016-12-15,2848,14154,1245,4.96980337078652,0.437148876404494
2016-12-17,2288,10429,1091,4.55812937062937,0.476835664335664
2016-12-18,2096,9367,990,4.46898854961832,0.472328244274809
2016-12-19,3152,13803,1336,4.37912436548223,0.423857868020305
2016-12-20,3044,14052,1355,4.61629434954008,0.445137976346912
2016-12-21,2549,10929,1178,4.28756375049039,0.46214201647705
2016-12-22,2080,8713,1003,4.18894230769231,0.482211538461538
2016-12-23,1588,5724,809,3.60453400503778,0.509445843828715
2016-12-25,1369,5596,706,4.08765522279036,0.515704894083272
2016-12-24,1226,4451,622,3.6305057096248,0.507340946166395
2016-12-26,1569,5864,795,3.73741236456342,0.506692160611855
2016-12-27,1836,7537,888,4.10511982570806,0.483660130718954
2016-12-29,1630,7087,787,4.3478527607362,0.482822085889571
2016-12-28,1746,7778,829,4.45475372279496,0.474799541809851
2016-12-30,1218,4812,592,3.95073891625616,0.486042692939245
2016-12-31,1195,4118,649,3.44602510460251,0.543096234309623
2017-01-01,1353,5362,702,3.9630450849963,0.518847006651885
2017-01-02,1598,6283,774,3.93178973717146,0.484355444305382
2017-01-03,2367,9459,1087,3.99619771863118,0.459231094212083
2017-01-04,2351,11525,1045,4.90216928966397,0.444491705657167
2017-01-05,2144,9412,1008,4.38992537313433,0.470149253731343
2017-01-07,1598,5739,855,3.59136420525657,0.535043804755945
2017-01-06,2184,9079,1044,4.15705128205128,0.478021978021978
2017-01-08,1620,5999,846,3.70308641975309,0.522222222222222
2017-01-09,2266,9458,1046,4.1738746690203,0.461606354810238
2017-01-10,2229,9310,1060,4.17676087931808,0.47554957379991
2017-01-11,2157,8298,1072,3.84700973574409,0.49698655540102
2017-01-12,2177,8918,1062,4.09646302250804,0.487827285254938
2017-01-13,1937,8595,942,4.43727413526071,0.486319050077439
2017-01-14,1513,5707,778,3.77197620621282,0.514210178453404
2017-01-15,1560,5851,795,3.75064102564103,0.509615384615385
2017-01-16,1873,7436,949,3.97010144153764,0.506673785371062
2017-01-17,2366,9899,1155,4.18385460693153,0.488165680473373
2017-01-18,2204,8975,1061,4.07214156079855,0.481397459165154
2017-01-19,2050,8812,1008,4.29853658536585,0.491707317073171
2017-01-20,2055,8532,1035,4.15182481751825,0.503649635036496
2017-01-21,1665,5988,865,3.5963963963964,0.519519519519519
2017-01-22,1674,6763,870,4.0400238948626,0.519713261648746
2017-01-23,2219,8945,1073,4.03109508787742,0.483551149166291
2017-01-24,3524,12753,1792,3.6188989784336,0.508513053348468
2017-01-25,2930,11382,1411,3.88464163822526,0.481569965870307
2017-01-26,2175,8975,1091,4.1264367816092,0.501609195402299
2017-01-27,1936,7875,946,4.0676652892562,0.488636363636364
2017-01-28,1599,5729,832,3.58286429018136,0.520325203252033
2017-01-29,1794,7181,899,4.00278706800446,0.501114827201784
2017-01-30,2339,9943,1140,4.25096194955109,0.487387772552373
2017-01-31,2189,9525,1083,4.35130196436729,0.49474645957058
2017-02-01,2402,10185,1150,4.24021648626145,0.478767693588676
2017-02-02,2314,9379,1193,4.05315471045808,0.515557476231634
2017-02-03,2140,8028,1169,3.75140186915888,0.546261682242991
2017-02-04,1535,5889,785,3.83648208469055,0.511400651465798
2017-02-05,1510,5761,750,3.81523178807947,0.496688741721854
2017-02-06,2207,8580,1094,3.88763026733122,0.495695514272768
2017-02-07,2438,9642,1235,3.95488105004102,0.50656275635767
2017-02-08,2531,9291,1291,3.67088107467404,0.510075069142631
